,sujeto,lados,angulo,combinacion,mediana,ciclo
118,AB07_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.00593328475952145,stance
119,AB07_mine_excluded_nogc.mat,R-R,hip_rot,Rtoe-Rhip_rot,0.1112570762634277,swing
120,AB07_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.27367258071899414,full
121,AB07_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.00270128250122065,nods
122,AB07_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.2043161392211914,stance
123,AB07_mine_excluded_nogc.mat,R-L,ankle,Rtoe-Lankle,0.19376945495605463,swing
124,AB07_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.0309338569641113,full
125,AB07_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.00150728225708005,nods
126,AB07_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.09199380874633785,stance
127,AB07_mine_excluded_nogc.mat,R-L,subt,Rtoe-Lsubt,0.11760902404785155,swing
128,AB07_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.08682632446289054,full
129,AB07_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.0109667778015136,nods
130,AB07_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.023050785064697252,stance
131,AB07_mine_excluded_nogc.mat,R-L,knee,Rtoe-Lknee,0.11908578872680661,swing
132,AB07_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.3616752624511719,full
133,AB07_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.0199661254882812,nods
134,AB07_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.2087330818176269,stance
135,AB07_mine_excluded_nogc.mat,R-L,hip_addu,Rtoe-Lhip_addu,0.10249423980712885,swing
136,AB07_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.2066531181335449,full
137,AB07_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.025629997253417948,nods
138,AB07_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.21300077438354492,stance
139,AB07_mine_excluded_nogc.mat,R-L,hip_flex,Rtoe-Lhip_flex,0.39900875091552734,swing
140,AB07_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00903654098510735,full
141,AB07_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00230121612548825,nods
142,AB07_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.00919723510742185,stance
143,AB07_mine_excluded_nogc.mat,R-L,hip_rot,Rtoe-Lhip_rot,0.0250024795532226,swing
144,AB07_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.27222633361816406,full
145,AB07_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.0012269020080566,nods
146,AB07_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.1527338027954101,stance
147,AB07_mine_excluded_nogc.mat,L-R,ankle,Ltoe-Rankle,0.1361303329467773,swing
148,AB07_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.06295680999755855,full
149,AB07_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.0003929138183593,nods
150,AB07_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.0542793273925781,stance
151,AB07_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.0837574005126953,swing
152,AB07_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.1204800605773925,full
153,AB07_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0029549598693846997,nods
154,AB07_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.01957464218139645,stance
155,AB07_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0966401100158691,swing
156,AB07_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.3434934616088867,full
157,AB07_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.00740242004394525,nods
158,AB07_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.1064848899841308,stance
159,AB07_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.06770849227905265,swing
160,AB07_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.1715583801269531,full
161,AB07_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.014183521270751901,nods
162,AB07_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.1380848884582519,stance
163,AB07_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.34468793869018555,swing
164,AB07_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.009219646453857401,full
165,AB07_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.0018954277038574002,nods
166,AB07_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.00572443008422845,stance
167,AB07_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.0009517669677734,swing
168,AB07_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.0971546173095703,full
169,AB07_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.003211498260498,nods
170,AB07_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.0618672370910644,stance
171,AB07_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.01288795471191405,swing
172,AB07_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.0295109748840332,full
173,AB07_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.0027942657470703004,nods
174,AB07_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.0057883262634277,stance
175,AB07_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.042455673217773396,swing
176,AB07_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.4553284645080566,full
177,AB07_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.00302219390869135,nods
178,AB07_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.019732475280761698,stance
179,AB07_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.517580509185791,swing
180,AB07_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.43050575256347656,full
181,AB07_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.008369445800781201,nods
182,AB07_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.11113500595092765,stance
183,AB07_mine_excluded_nogc.mat,L-L,hip_addu,Ltoe-Lhip_addu,0.11171627044677729,swing
184,AB07_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.18287420272827143,full
185,AB07_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.00453615188598625,nods
186,AB07_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.08435630798339841,stance
187,AB07_mine_excluded_nogc.mat,L-L,hip_flex,Ltoe-Lhip_flex,0.15574312210083005,swing
188,AB07_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.04258251190185545,full
189,AB07_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.00890064239501945,nods
190,AB07_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.014949321746826099,stance
191,AB07_mine_excluded_nogc.mat,L-L,hip_rot,Ltoe-Lhip_rot,0.13104867935180659,swing
192,AB08_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.12922430038452146,full
193,AB08_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.00387954711914055,nods
194,AB08_mine_excluded_nogc.mat,R-R,ankle,Rtoe-Rankle,0.027568340301513602,stance
